priority,rank,name,url,focus,source,source_page
6,A,Dan Mall,https://danmall.com,editorial,A1 Gallery,https://www.a1.gallery
13,A,Interfaces,https://interfaces.dev,editorial,A1 Gallery,https://www.a1.gallery
383,D,Websites of the Year,https://readymag.com/websites-of-the-year,editorial,A1 Gallery,https://www.a1.gallery
445,D,Gosteli-Archiv,https://www.gosteli-archiv.ch/en,editorial,A1 Gallery,https://www.a1.gallery
446,D,Caleomag,https://www.caleomag.com/,editorial,A1 Gallery,https://www.a1.gallery
559,E,Shapes,https://www.shapes.gallery/,editorial,A1 Gallery,https://www.a1.gallery
560,E,No-Code Supply Co,https://www.nocodesupply.co/,editorial,A1 Gallery,https://www.a1.gallery
561,E,Pirate Wires,https://www.piratewires.com/,editorial,A1 Gallery,https://www.a1.gallery
726,G,Macfolio,https://macfolio.com/,editorial,A1 Gallery,https://www.a1.gallery
727,G,Flim,https://flim.ai/,editorial,A1 Gallery,https://www.a1.gallery
728,G,Not a Number,https://www.nan.fyi/,editorial,A1 Gallery,https://www.a1.gallery
729,G,The Bottom Line,https://squareup.com/us/en/the-bottom-line,editorial,A1 Gallery,https://www.a1.gallery
730,G,Everyday Finds,https://everydayfinds.com/,editorial,A1 Gallery,https://www.a1.gallery
811,G,Beard Meats Food,https://www.beardmeatsfood.co.uk/,editorial,A1 Gallery,https://www.a1.gallery
945,I,Every,https://every.to/,editorial,A1 Gallery,https://www.a1.gallery
