priority,rank,name,url,focus,source,source_page
78,B,The New Industrials,https://thenewindustrials.com/,landing,A1 Gallery,https://www.a1.gallery
123,B,Typography In Web Design,https://tiwd.courses/,landing,A1 Gallery,https://www.a1.gallery
128,B,Circa,https://circa.so/,landing,A1 Gallery,https://www.a1.gallery
190,C,Hypercard,https://www.hypercard.com/,landing,A1 Gallery,https://www.a1.gallery
302,D,The Defense Reformation,https://18theses.com/,landing,A1 Gallery,https://www.a1.gallery
489,G,Avara,https://avara.xyz/,landing,A1 Gallery,https://www.a1.gallery
500,G,Elapse,https://www.elapse.ai/,landing,A1 Gallery,https://www.a1.gallery
501,G,Droplette,https://www.droplette.app/,landing,A1 Gallery,https://www.a1.gallery
649,I,Tola Invoice,https://invoice.tolahq.com/,landing,A1 Gallery,https://www.a1.gallery
750,J,Alone in New York,https://aloneinnewyork.com/,landing,A1 Gallery,https://www.a1.gallery
819,K,Leel,https://www.leel.in/,landing,A1 Gallery,https://www.a1.gallery
822,K,Langbase,https://langbase.com/,landing,A1 Gallery,https://www.a1.gallery
953,M,Dropbox Dash × McLaren F1,https://dash.dropbox.com/mclarenf1,landing,A1 Gallery,https://www.a1.gallery
954,M,PrimeLink,https://www.primelink.io/,landing,A1 Gallery,https://www.a1.gallery
955,M,Coherence,https://www.withcoherence.com/,landing,A1 Gallery,https://www.a1.gallery
