priority,rank,name,url,focus,source,source_page
2,A,Oliver Gareis,https://www.olivergareis.com,typography,A1 Gallery,https://www.a1.gallery
3,A,Artiom Yakushev,https://www.art-yakushev.com,typography,A1 Gallery,https://www.a1.gallery
8,A,Daniel Sun,https://danielsun.space,typography,A1 Gallery,https://www.a1.gallery
10,A,Provider,https://provider.studio,typography,A1 Gallery,https://www.a1.gallery
14,A,Deadwater,https://www.deadwater.fr,typography,A1 Gallery,https://www.a1.gallery
27,A,Kononenko Architectural Bureau,https://kononenkogroup.com,typography,A1 Gallery,https://www.a1.gallery
33,A,KEI,https://kei-inc.jp,typography,A1 Gallery,https://www.a1.gallery
35,A,Desses,https://desses.co,typography,A1 Gallery,https://www.a1.gallery
38,A,Philip Readman,https://www.philipreadman.com,typography,A1 Gallery,https://www.a1.gallery
1066,J,Land of Ride,https://www.awwwards.com/sites/land-of-ride,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1083,J,Philosophical Foxes,https://www.awwwards.com/sites/philosophical-foxes,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1155,J,Everyday Robots,https://www.awwwards.com/sites/everyday-robots,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1163,K,Grège - création d'intérieurs,https://www.awwwards.com/sites/grege-creation-dinterieurs,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=56
1164,K,Pablo Farias,https://www.awwwards.com/sites/pablo-farias,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=56
1170,K,Cubitts,https://www.awwwards.com/sites/cubitts,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=56
1208,K,Alba,https://www.awwwards.com/sites/alba,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=57
1218,K,Pangram Pangram Foundry,https://www.awwwards.com/sites/pangram-pangram-foundry,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=58
1244,K,Seed,https://www.awwwards.com/sites/seed,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=58
1267,K,Path Robotics,https://www.awwwards.com/sites/path-robotics,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=59
1272,K,UNION©,https://www.awwwards.com/sites/union-c,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=59
1277,L,Encyclopedia of the Farm,https://www.awwwards.com/sites/encyclopedia-of-the-farm,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=59
1286,L,Stella Domo,https://www.awwwards.com/sites/stella-domo,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=60
1291,L,Studio K95,https://www.awwwards.com/sites/studio-k95-1,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=60
1307,L,PXR Legal,https://www.awwwards.com/sites/pxr-legal,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=60
1309,L,Von Heilig,https://www.awwwards.com/sites/von-heilig,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=60
1319,L,MIRAMACHO,https://www.awwwards.com/sites/miramacho,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=61
1365,L,Mike L.Murphy,https://www.awwwards.com/sites/mike-l-murphy,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=62
1371,L,Bauwerk,https://www.awwwards.com/sites/bauwerk,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=62
1401,M,Tomas Than,https://www.awwwards.com/sites/tomas-than,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=63
1418,M,Fontshare,https://www.awwwards.com/sites/fontshare,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1430,M,At Glacier's End,https://www.awwwards.com/sites/at-glaciers-end,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1454,M,PRB Architects,https://www.awwwards.com/sites/prb-architects,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=65
1470,M,Gunnar Freyr,https://www.awwwards.com/sites/gunnar-freyr,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=66
1474,M,VJ Type,https://www.awwwards.com/sites/vj-type,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=66
1518,N,Bad Boys,https://www.awwwards.com/sites/bad-boys,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=67
1533,N,Album Colors Of The Year 2020,https://www.awwwards.com/sites/album-colors-of-the-year-2020,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=68
1557,N,Mammut Expedition Baikal,https://www.awwwards.com/sites/mammut-expedition-baikal,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=68
1563,N,Moooi - Digital flagship store,https://www.awwwards.com/sites/moooi-digital-flagship-store,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=69
1592,N,Stelvio Grotesk,https://www.awwwards.com/sites/stelvio-grotesk,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=70
1601,N,Loeven Morcel,https://www.awwwards.com/sites/loeven-morcel,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=70
1612,N,Boynton Yards,https://www.awwwards.com/sites/boynton-yards,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=70
1635,O,Pizza Pizza,https://www.awwwards.com/sites/pizza-pizza,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=71
1670,O,GS® Project,https://www.awwwards.com/sites/golden-suisse,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=72
1677,O,Extraset Type Foundry,https://www.awwwards.com/sites/extraset-type-foundry,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=72
1681,O,Craig Reynolds,https://www.awwwards.com/sites/craig-reynolds,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=72
1713,O,Canvas,https://www.awwwards.com/sites/canvas-1,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=73
1724,O,AIAIAI.audio,https://www.awwwards.com/sites/aiaiai-audio,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=74
1726,O,REKKI,https://www.awwwards.com/sites/rekki,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=74
1754,P,Say Cheese,https://www.awwwards.com/sites/say-cheese,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=75
1767,P,&Tradition,https://www.awwwards.com/sites/tradition,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=75
1769,P,Adam Ho Portfolio,https://www.awwwards.com/sites/adam-ho-portfolio-1,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=75
1788,P,mē-lo / Angela Milosevic,https://www.awwwards.com/sites/me-lo-angela-milosevic,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1820,P,Jigsaw,https://www.awwwards.com/sites/jigsaw,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=77
1867,Q,Hello from Here,https://www.awwwards.com/sites/hello-from-here,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1875,Q,Jon Way Studio,https://www.awwwards.com/sites/jon-way-studio,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=79
1885,Q,Darker Lights,https://www.awwwards.com/sites/darker-lights,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=79
1905,Q,CANALS,https://www.awwwards.com/sites/canals,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=80
1911,Q,Mouthwash,https://www.awwwards.com/sites/mouthwash,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=80
1946,Q,D.POTFER STUDIO,https://www.awwwards.com/sites/d-potfer-studio,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=81
1949,Q,Neuebel&Mark,https://www.awwwards.com/sites/neuebel-mark,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=81
1950,Q,Fontsmith Variable Fonts,https://www.awwwards.com/sites/fontsmith-variable-fonts,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=81
2029,R,Faraday Future,https://www.awwwards.com/sites/faraday-future,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2033,R,SPACE10.IO,https://www.awwwards.com/sites/space10-io,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=102
2044,R,Johannes Leonardo,https://www.awwwards.com/sites/johannes-leonardo,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=102
2105,S,GWBI,https://www.awwwards.com/sites/gwbi,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=104
2116,S,One Shared House 2030,https://www.awwwards.com/sites/one-shared-house-2030,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=104
2128,S,Kaltpresse,https://www.awwwards.com/sites/kaltpresse,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=105
2134,S,Andre Ribeiro,https://www.awwwards.com/sites/andre-ribeiro,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=105
2141,S,Marc Gonçalves,https://www.awwwards.com/sites/marc-goncalves,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=105
2179,S,We Are Envoy,https://www.awwwards.com/sites/we-are-envoy,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=106
2183,S,Marcus Eriksson,https://www.awwwards.com/sites/marcus-eriksson,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=106
2219,T,La peau de l'ours,https://www.awwwards.com/sites/la-peau-de-l-ours,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=108
2245,T,Tubelectric,https://www.awwwards.com/sites/tubelectric,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=108
2294,T,Impero Website,https://www.awwwards.com/sites/impero-website,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=110
2387,U,Théodore Rousseau exhibition,https://www.awwwards.com/sites/theodore-rousseau-exhibition,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=113
2469,V,STRV - Digital Agency,https://www.awwwards.com/sites/strv,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=116
2477,V,Monochrome,https://www.awwwards.com/sites/monochrome,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=116
2484,V,Maxim Gorki Theater,https://www.awwwards.com/sites/maxim-gorki-theater,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=116
2511,V,Pell Mell Agency,https://www.awwwards.com/sites/pell-mell-agency-fr,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=117
2512,V,Hugo & Marie,https://www.awwwards.com/sites/hugo-marie,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=117
2515,V,Smith,https://www.awwwards.com/sites/smith,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=117
2550,W,Maison Ullens,https://www.awwwards.com/sites/maison-ullens,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=118
2562,W,AIGA Design Conference,https://www.awwwards.com/sites/aiga-design-conference-2016,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=120
2571,W,Humans & Machines,https://www.awwwards.com/sites/humans-machines,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=120
2592,W,Rodesk | User Experience Expertise,https://www.awwwards.com/sites/rodesk-user-experience-expertise,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=121
2621,W,Designembraced,https://www.awwwards.com/sites/designembraced,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=122
2658,X,Xavier Bourdil — Interactive design + Art direction,https://www.awwwards.com/sites/xavier-bourdil-interactive-design-art-direction,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=123
2661,X,World Chess,https://www.awwwards.com/sites/world-chess,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=123
2683,X,Uber Brand,https://www.awwwards.com/sites/uber-brand,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=124
2685,X,Sonikpass,https://www.awwwards.com/sites/sonikpass,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=124
2735,X,Centurion-Magazine,https://www.awwwards.com/sites/centurion-magazine,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=125
2747,X,Bonne Marque,https://www.awwwards.com/sites/bonnemarque,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=127
2751,X,Benjamin Guedj,https://www.awwwards.com/sites/benjamin-guedj-portfolio,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=127
2770,X,This Also,https://www.awwwards.com/sites/this-also,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=127
2805,Y,R/m Design School,https://www.awwwards.com/sites/r-m-design-school,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=131
2813,Y,Comment,https://www.awwwards.com/sites/comment,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=132
2841,Y,Edwin Europe,https://www.awwwards.com/sites/edwin-europe,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=133
2864,Y,Type To Design,https://www.awwwards.com/sites/type-to-design,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=133
2865,Y,Beoplay H6 Rapha Edition,https://www.awwwards.com/sites/beoplay-h6-rapha-edition,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=133
2882,Y,Urban Walks,https://www.awwwards.com/sites/urban-walks,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=135
2892,Z,Blossomtype,https://www.awwwards.com/sites/blossomtype,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=135
2894,Z,Elite,https://www.awwwards.com/sites/elite,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=135
2910,Z,Mathias Sterner,https://www.awwwards.com/sites/mathias-sterner-1,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=137
2912,Z,25AH,https://www.awwwards.com/sites/25ah-1,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=137
2919,Z,FS Millbank,https://www.awwwards.com/sites/fs-millbank,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=137
2937,Z,Sound City Project,https://www.awwwards.com/sites/sound-city-project,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=141
2939,Z,Fight 4 Pride,https://www.awwwards.com/sites/fight-4-pride-1,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=141
2987,Z,WikiWand: Wikipedia Modernized,https://www.awwwards.com/sites/wikiwand-wikipedia-modernized,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=142
2988,Z,One To See One To Kill,https://www.awwwards.com/sites/one-to-see-one-to-kill,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=142
2997,Z,Palais Coburg,https://www.awwwards.com/sites/palais-coburg,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=143
