priority,rank,name,url,focus,feature,evidence,source,source_page
1003,I,Vitra – Office Chair Finder,https://www.awwwards.com/sites/vitra-office-chair-finder,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1004,I,Santa Teresa,https://www.awwwards.com/sites/santa-teresa,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1006,I,Marble,https://www.awwwards.com/sites/marble-3,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1007,I,POLA: Mother's Day,https://www.awwwards.com/sites/pola-mothers-day,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1010,I,Kim Kneipp Folio,https://www.awwwards.com/sites/kim-kneipp-folio,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1011,I,Fornasetti Profumi,https://www.awwwards.com/sites/fornasetti-profumi,motion,カットイン・画面遷移,Animation / Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1012,I,The Cube,https://www.awwwards.com/sites/the-cube,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1013,I,Museum of Sharaf Rashidov,https://www.awwwards.com/sites/museum-of-sharaf-rashidov,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1014,I,Display Studio,https://www.awwwards.com/sites/display-studio,motion,カットイン・画面遷移,Animation / Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1017,I,Haven Studios,https://www.awwwards.com/sites/haven-studios,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1019,I,TAG Heuer Connected Calibre E4,https://www.awwwards.com/sites/tag-heuer-connected-calibre-e4,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1020,I,Cyd Stumpel — Portfolio 2022,https://www.awwwards.com/sites/cyd-stumpel-portfolio-2022,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1022,I,Vendredi Society,https://www.awwwards.com/sites/vendredi-society,motion,カットイン・画面遷移,Animation / Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1023,I,ZiKD SPACE,https://www.awwwards.com/sites/zikd-space,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1026,I,Peter Tarka,https://www.awwwards.com/sites/peter-tarka,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1027,I,Panic Studio,https://www.awwwards.com/sites/panic-studio,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1029,I,Webflow Redis Agency,https://www.awwwards.com/sites/webflow-redis-agency,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1030,I,Vestiaire Collective Report 22,https://www.awwwards.com/sites/vestiaire-collective-report-22,motion,カットイン・画面遷移,Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1032,I,Radioactive Crocs Club,https://www.awwwards.com/sites/radioactive-crocs-club,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1033,I,Tom Sears Personal Portfolio,https://www.awwwards.com/sites/tom-sears-personal-portfolio,motion,カットイン・画面遷移,Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1034,I,Korty EO,https://www.awwwards.com/sites/korty-eo,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1038,I,Wyre,https://www.awwwards.com/sites/wyre,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1039,I,Infinite Passerella,https://www.awwwards.com/sites/infinite-passerella,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1041,I,Flutter,https://www.awwwards.com/sites/flutter,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1042,I,Ion X1,https://www.awwwards.com/sites/ion-x1,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1044,I,The Empathy Experiment,https://www.awwwards.com/sites/the-empathy-experiment,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1048,J,Jacques Marie Mage,https://www.awwwards.com/sites/jacques-marie-mage,motion,カットイン・画面遷移,Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1049,J,Zendetta - A story from Syria,https://www.awwwards.com/sites/zendetta-a-story-from-syria,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1050,J,Dr.Dabber Experience,https://www.awwwards.com/sites/dr-dabber-experience,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1051,J,HAPE,https://www.awwwards.com/sites/hape,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1052,J,Victor Work,https://www.awwwards.com/sites/victor-work,motion,カットイン・画面遷移,Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1053,J,TRUE,https://www.awwwards.com/sites/true-1,motion,カットイン・画面遷移,Animation / Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1054,J,Yannick Gregoire,https://www.awwwards.com/sites/yannick-gregoire,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1057,J,Plasticbionic,https://www.awwwards.com/sites/plasticbionic,motion,カットイン・画面遷移,Animation / Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1058,J,Richard Ekwonye - Portfolio,https://www.awwwards.com/sites/richard-ekwonye-portfolio,motion,カットイン・画面遷移,Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1059,J,Pact,https://www.awwwards.com/sites/pact,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1061,J,Stas Bondar Portfolio Website,https://www.awwwards.com/sites/stas-bondar-portfolio-website,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1062,J,Uplinq,https://www.awwwards.com/sites/uplinq,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1063,J,Guillaume Tomasi,https://www.awwwards.com/sites/guillaume-tomasi-2,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1067,J,Blok Watches,https://www.awwwards.com/sites/blok-watches,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1068,J,Jantana Hennard — Portfolio,https://www.awwwards.com/sites/jantana-hennard-portfolio,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1069,J,KARAK,https://www.awwwards.com/sites/karak,motion,カットイン・画面遷移,Animation / Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1070,J,Howdy Design Family,https://www.awwwards.com/sites/howdy-design-family,motion,カットイン・画面遷移,Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1071,J,I Killed A Cactus,https://www.awwwards.com/sites/i-killed-a-cactus,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1074,J,Dennis Snellenberg,https://www.awwwards.com/sites/dennis-snellenberg,motion,カットイン・画面遷移,Animation / Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1077,J,Robin Payot - Portfolio 2022,https://www.awwwards.com/sites/robin-payot-portfolio-2022,motion,カットイン・画面遷移,Animation / Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1078,J,Potion,https://www.awwwards.com/sites/potion,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1080,J,YETI,https://www.awwwards.com/sites/yeti,motion,カットイン・画面遷移,Animation / Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1084,J,Om Swami,https://www.awwwards.com/sites/om-swami,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1087,J,CIRCUS Shanghai Inc.,https://www.awwwards.com/sites/circus-shanghai-inc,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1088,J,demophorius,https://www.awwwards.com/sites/demophorius,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1090,J,EmCell,https://www.awwwards.com/sites/emcell,motion,カットイン・画面遷移,Animation / Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1091,J,Transmissions,https://www.awwwards.com/sites/transmissions,motion,カットイン・画面遷移,Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1092,J,MILL3,https://www.awwwards.com/sites/mill3,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1093,J,MicroWaver 59™,https://www.awwwards.com/sites/microwaver-59tm,motion,カットイン・画面遷移,Animation / Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1094,J,Moooi - Defy Gravity,https://www.awwwards.com/sites/moooi-defy-gravity,motion,カットイン・画面遷移,Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1095,J,Mubien Brands,https://www.awwwards.com/sites/mubien-brands,motion,カットイン・画面遷移,Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1097,J,The Race - Interparfums,https://www.awwwards.com/sites/the-race-interparfums,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1098,J,The Nifty  Portal,https://www.awwwards.com/sites/the-nifty-portal,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1101,J,Oh Happy Days,https://www.awwwards.com/sites/oh-happy-days,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1103,J,Wanderful Chalet,https://www.awwwards.com/sites/wanderful-chalet,motion,カットイン・画面遷移,Animation / Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1104,J,Vaayu,https://www.awwwards.com/sites/vaayu,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1106,J,Opportunities for Our Avatars,https://www.awwwards.com/sites/opportunities-for-our-avatars,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1107,J,Cowboy Bikes U.S. teaser,https://www.awwwards.com/sites/cowboy-bikes-u-s-teaser,motion,カットイン・画面遷移,Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1110,J,A digital cat meditation,https://www.awwwards.com/sites/a-digital-cat-meditation,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1113,J,Wildcatter,https://www.awwwards.com/sites/wildcatter,motion,カットイン・画面遷移,Animation / Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1116,J,Made to Be Found,https://www.awwwards.com/sites/made-to-be-found,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1117,J,SteelWave,https://www.awwwards.com/sites/steelwave,motion,カットイン・画面遷移,Transitions,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1118,J,ARCR,https://www.awwwards.com/sites/arcr-1,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1119,J,favorit.studio,https://www.awwwards.com/sites/favorit-studio,motion,カットイン・画面遷移,Animation,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
