priority,rank,name,url,focus,feature,evidence,source,source_page
1004,N,Santa Teresa,https://www.awwwards.com/sites/santa-teresa,motion,映像・音声,Music & Sound / Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1011,N,Fornasetti Profumi,https://www.awwwards.com/sites/fornasetti-profumi,motion,映像・音声,Sound-Audio / Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1026,N,Peter Tarka,https://www.awwwards.com/sites/peter-tarka,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1031,N,Erin Wesley,https://www.awwwards.com/sites/erin-wesley,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1032,N,Radioactive Crocs Club,https://www.awwwards.com/sites/radioactive-crocs-club,motion,映像・音声,Music & Sound / Sound-Audio / Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1037,N,Artistas Migrantes Thyssen,https://www.awwwards.com/sites/artistas-migrantes-thyssen,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1044,N,The Empathy Experiment,https://www.awwwards.com/sites/the-empathy-experiment,motion,映像・音声,Music & Sound / Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1046,N,Dumpling Delivery by Mailchimp,https://www.awwwards.com/sites/dumpling-delivery-by-mailchimp,motion,映像・音声,Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1049,N,Zendetta - A story from Syria,https://www.awwwards.com/sites/zendetta-a-story-from-syria,motion,映像・音声,Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1050,N,Dr.Dabber Experience,https://www.awwwards.com/sites/dr-dabber-experience,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1055,N,Nul,https://www.awwwards.com/sites/nul,motion,映像・音声,Photo & Video / Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1062,N,Uplinq,https://www.awwwards.com/sites/uplinq,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=52
1064,N,Brainbox AI,https://www.awwwards.com/sites/brainbox-ai,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1066,N,Land of Ride,https://www.awwwards.com/sites/land-of-ride,typography,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1075,N,La Guía de Cirugía Cardíaca,https://www.awwwards.com/sites/la-guia-de-cirugia-cardiaca,motion,映像・音声,Music & Sound / Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1077,N,Robin Payot - Portfolio 2022,https://www.awwwards.com/sites/robin-payot-portfolio-2022,motion,映像・音声,Music & Sound,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1080,O,YETI,https://www.awwwards.com/sites/yeti,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1086,O,Welcome To The Continent,https://www.awwwards.com/sites/welcome-to-the-continent,motion,映像・音声,Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1089,O,Sizzer,https://www.awwwards.com/sites/sizzer,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1093,O,MicroWaver 59™,https://www.awwwards.com/sites/microwaver-59tm,motion,映像・音声,Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=53
1094,O,Moooi - Defy Gravity,https://www.awwwards.com/sites/moooi-defy-gravity,motion,映像・音声,Music & Sound / Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1107,O,Cowboy Bikes U.S. teaser,https://www.awwwards.com/sites/cowboy-bikes-u-s-teaser,motion,映像・音声,Music & Sound / Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1110,O,A digital cat meditation,https://www.awwwards.com/sites/a-digital-cat-meditation,motion,映像・音声,Music & Sound / Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1113,O,Wildcatter,https://www.awwwards.com/sites/wildcatter,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1115,O,Nike PLAYlab,https://www.awwwards.com/sites/nike-playlab,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1116,O,Made to Be Found,https://www.awwwards.com/sites/made-to-be-found,motion,映像・音声,Music & Sound,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1122,O,Argor-Heraeus,https://www.awwwards.com/sites/argor-heraeus,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1123,O,Veloretti,https://www.awwwards.com/sites/veloretti,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=54
1126,O,Woset,https://www.awwwards.com/sites/woset,motion,映像・音声,Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1130,O,KeepGrading,https://www.awwwards.com/sites/keepgrading,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
1133,O,January Third | The 2021 Story,https://www.awwwards.com/sites/january-third-the-2021-story,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=55
