priority,rank,name,url,focus,feature,evidence,source,source_page
1002,N,basement studio,https://www.awwwards.com/sites/basement-studio-1,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1006,N,Marble,https://www.awwwards.com/sites/marble-3,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1007,N,POLA: Mother's Day,https://www.awwwards.com/sites/pola-mothers-day,motion,スクロール連動,Infinite Scroll / Parallax,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1008,N,Zulu Longines,https://www.awwwards.com/sites/zulu-longines,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1009,N,Ana Blagojevic,https://www.awwwards.com/sites/ana-blagojevic,motion,スクロール連動,Locomotive Scroll,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1015,N,The Other Side of Truth,https://www.awwwards.com/sites/the-other-side-of-truth,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1016,N,Persepolis Reimagined,https://www.awwwards.com/sites/persepolis-reimagined,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1017,N,Haven Studios,https://www.awwwards.com/sites/haven-studios,motion,スクロール連動,Locomotive Scroll / Parallax,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1018,N,DashDigital® Studio,https://www.awwwards.com/sites/dashdigital-r-studio,motion,スクロール連動,Locomotive Scroll,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1019,N,TAG Heuer Connected Calibre E4,https://www.awwwards.com/sites/tag-heuer-connected-calibre-e4,motion,スクロール連動,Parallax / Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1020,N,Cyd Stumpel — Portfolio 2022,https://www.awwwards.com/sites/cyd-stumpel-portfolio-2022,motion,スクロール連動,Locomotive Scroll / Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1021,N,The Craftsmen,https://www.awwwards.com/sites/the-craftsmen,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1022,N,Vendredi Society,https://www.awwwards.com/sites/vendredi-society,motion,スクロール連動,Parallax / Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1023,N,ZiKD SPACE,https://www.awwwards.com/sites/zikd-space,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
1029,N,Webflow Redis Agency,https://www.awwwards.com/sites/webflow-redis-agency,motion,スクロール連動,Scrolling,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=51
