priority,rank,name,url,focus,source,source_page
232,D,ISO Meet,https://www.isomeet.com/,product,A1 Gallery,https://www.a1.gallery
233,D,Koto,https://koto.com/,brand,A1 Gallery,https://www.a1.gallery
234,D,Oberyon,https://oberyon.com/,brand,A1 Gallery,https://www.a1.gallery
235,D,Piet Aukeman,https://piet.website/,portfolio,A1 Gallery,https://www.a1.gallery
236,D,Jason Reynolds,https://jsnrynlds.xyz/,portfolio,A1 Gallery,https://www.a1.gallery
237,D,Sidestage,https://www.sidestage.vc/,product,A1 Gallery,https://www.a1.gallery
238,D,Shopify Design,https://shopify.design/,product,A1 Gallery,https://www.a1.gallery
239,D,Glyphs,https://glyphsapp.com/,product,A1 Gallery,https://www.a1.gallery
240,D,Yonis,https://www.studioyonis.com/,brand,A1 Gallery,https://www.a1.gallery
241,D,Michael Brown,https://www.mbrown.work/,portfolio,A1 Gallery,https://www.a1.gallery
242,D,PUR+ Architekten,https://www.purplus.team/,brand,A1 Gallery,https://www.a1.gallery
243,D,Antonin Saurat,https://www.antoninsaurat.work/,portfolio,A1 Gallery,https://www.a1.gallery
244,D,Search Party,https://www.searchparty.com/,product,A1 Gallery,https://www.a1.gallery
245,D,Relats,https://toptier.relats.com/,product,A1 Gallery,https://www.a1.gallery
246,D,10×Designers,https://10xdesigners.co/,product,A1 Gallery,https://www.a1.gallery
247,D,ALSO,https://ridealso.com/,ecommerce,A1 Gallery,https://www.a1.gallery
248,D,Emily in Paris,https://www.parisbyemily.com/,product,A1 Gallery,https://www.a1.gallery
249,D,Quick Copies,https://quickcopies.com/,product,A1 Gallery,https://www.a1.gallery
250,D,Worknight Studio,https://worknight.studio/,brand,A1 Gallery,https://www.a1.gallery
251,D,Primora,https://primora.xyz/,brand,A1 Gallery,https://www.a1.gallery
252,D,Skarlo,https://skarlo.co/,brand,A1 Gallery,https://www.a1.gallery
253,D,Brethren Design Co,https://www.brethrendesignco.com/,brand,A1 Gallery,https://www.a1.gallery
254,D,Revitin,https://revitin.com/,ecommerce,A1 Gallery,https://www.a1.gallery
255,D,MasterClass,https://www.masterclass.com/,product,A1 Gallery,https://www.a1.gallery
256,D,Craft,https://www.craft.do/,product,A1 Gallery,https://www.a1.gallery
257,D,Latitude.sh,https://www.latitude.sh/,product,A1 Gallery,https://www.a1.gallery
258,D,Kastle,https://www.kastle.ai/,product,A1 Gallery,https://www.a1.gallery
259,D,For Good Design Lab,https://www.forgooddesignlab.com/,brand,A1 Gallery,https://www.a1.gallery
260,D,Collider,https://www.drinkcollider.com/,ecommerce,A1 Gallery,https://www.a1.gallery
261,D,Pelata Pieces,https://www.pelatapieces.com/,ecommerce,A1 Gallery,https://www.a1.gallery
262,D,Cluely,https://cluely.com/,product,A1 Gallery,https://www.a1.gallery
263,D,NTGent,https://www.ntgent.be/en,product,A1 Gallery,https://www.a1.gallery
264,D,Algo,https://algo.tv/,brand,A1 Gallery,https://www.a1.gallery
265,D,AI in Design Report 2026,https://stateofaidesign.com/,product,A1 Gallery,https://www.a1.gallery
266,D,Lineage,https://lineage.agency/,brand,A1 Gallery,https://www.a1.gallery
267,D,Studio Agriculture,https://studioagriculture.co/,portfolio,A1 Gallery,https://www.a1.gallery
268,D,Sunrise Robotics,https://sunriserobotics.co/,product,A1 Gallery,https://www.a1.gallery
