priority,rank,name,url,focus,source,source_page
309,E,Artone Studio,https://artone.studio/,brand,A1 Gallery,https://www.a1.gallery
310,E,A Color Bright,https://www.acolorbright.com/,brand,A1 Gallery,https://www.a1.gallery
311,E,Arnaldo Petrazzini,https://arnaldo.zip/,portfolio,A1 Gallery,https://www.a1.gallery
312,E,Adiel Vasquez,https://adiel.design/,portfolio,A1 Gallery,https://www.a1.gallery
313,E,Eduardo Duccigne,https://eduardoduccigne.co/en,portfolio,A1 Gallery,https://www.a1.gallery
314,E,Valeriia Kostenko,https://valeriiakostenko.com/,portfolio,A1 Gallery,https://www.a1.gallery
315,E,Eric Sin,https://ericsin.com/,portfolio,A1 Gallery,https://www.a1.gallery
316,E,Studio Primal,https://www.studioprimal.com/,portfolio,A1 Gallery,https://www.a1.gallery
317,E,Daniël van der Winden,https://www.daniel.pizza/,portfolio,A1 Gallery,https://www.a1.gallery
318,E,New Ground Coffee,https://www.newgroundcoffee.com/,ecommerce,A1 Gallery,https://www.a1.gallery
319,E,Monolith,https://monolith.nyc/,ecommerce,A1 Gallery,https://www.a1.gallery
320,E,Redbrick,https://redbrick.coffee/,ecommerce,A1 Gallery,https://www.a1.gallery
321,E,Julius,https://outlinetype.com/julius,product,A1 Gallery,https://www.a1.gallery
322,E,GT Pantheon,https://gt-pantheon.com/,product,A1 Gallery,https://www.a1.gallery
323,E,Cash App,https://cash.app/,product,A1 Gallery,https://www.a1.gallery
324,E,Earthodic,https://www.earthodic.com/,product,A1 Gallery,https://www.a1.gallery
325,E,Orchid,https://orchid.ai/,product,A1 Gallery,https://www.a1.gallery
326,E,Garriock & Co.,https://www.garriock.com/,brand,A1 Gallery,https://www.a1.gallery
327,E,Good Habit,https://goodhabit.studio/,brand,A1 Gallery,https://www.a1.gallery
328,E,Our Life's Work ®,https://www.ourlifeswork.com/,brand,A1 Gallery,https://www.a1.gallery
329,E,Abbr. Projects,https://www.abbrprojects.com/,brand,A1 Gallery,https://www.a1.gallery
330,E,Primary Works,https://www.primary.works/,brand,A1 Gallery,https://www.a1.gallery
331,E,Victor Berbel,https://www.victorberbel.work/,portfolio,A1 Gallery,https://www.a1.gallery
332,E,Regis Biron,https://regis.works/,portfolio,A1 Gallery,https://www.a1.gallery
333,E,Daniel Herzog,https://www.danielherzog.design/,portfolio,A1 Gallery,https://www.a1.gallery
334,E,Sam George,https://www.samgeorge.co/,portfolio,A1 Gallery,https://www.a1.gallery
335,E,Jonas Brinkhoff,https://www.jonasbrinkhoff.com/,portfolio,A1 Gallery,https://www.a1.gallery
336,E,Stewart & Partners,https://www.stewartpartners.studio/,portfolio,A1 Gallery,https://www.a1.gallery
337,E,Mike van der Sanden,https://mikevandersanden.com/,portfolio,A1 Gallery,https://www.a1.gallery
338,E,Jeton,https://www.jeton.com/,product,A1 Gallery,https://www.a1.gallery
339,E,Deserve Studio,https://deserve.studio/,brand,A1 Gallery,https://www.a1.gallery
340,E,Grace Brigade,https://www.gracebrigade.com/,brand,A1 Gallery,https://www.a1.gallery
341,E,TUSARO Studio,https://www.tusaro.studio/,brand,A1 Gallery,https://www.a1.gallery
342,E,Frost*,https://frostcollective.com/,brand,A1 Gallery,https://www.a1.gallery
343,E,Motto,https://wearemotto.com/,brand,A1 Gallery,https://www.a1.gallery
344,E,Studio Dado,https://www.studiodado.com/,brand,A1 Gallery,https://www.a1.gallery
345,E,Forty Eight Point One,https://www.fortyeight.one/,brand,A1 Gallery,https://www.a1.gallery
346,E,Meaning Ltd.,https://meaning.company/,brand,A1 Gallery,https://www.a1.gallery
347,E,Davide Baratta,https://www.davidebaratta.com/,portfolio,A1 Gallery,https://www.a1.gallery
348,E,Jack Theobald,https://jacktheobald.com/,portfolio,A1 Gallery,https://www.a1.gallery
349,E,Boris Verks,https://www.borisverks.com/,portfolio,A1 Gallery,https://www.a1.gallery
350,E,Studiokay,https://www.studiokay.com.au/,portfolio,A1 Gallery,https://www.a1.gallery
351,E,Sneha Sankar,https://snehasanks.com/,portfolio,A1 Gallery,https://www.a1.gallery
352,E,Rachel Chen,https://www.rachelchen.tech/,portfolio,A1 Gallery,https://www.a1.gallery
353,E,Ramyatara Mullapudi,https://ramyatara.com/,portfolio,A1 Gallery,https://www.a1.gallery
354,E,David Rinman,https://www.davidrinman.com/,portfolio,A1 Gallery,https://www.a1.gallery
355,E,Talk to Dasha,https://www.talktodasha.com/,portfolio,A1 Gallery,https://www.a1.gallery
356,E,Chris Fairchild,https://chrisfairchild.co/,portfolio,A1 Gallery,https://www.a1.gallery
357,E,Made With Gsap,https://madewithgsap.com/,product,A1 Gallery,https://www.a1.gallery
358,E,Merus,https://www.merus1894.com/,product,A1 Gallery,https://www.a1.gallery
359,E,Supercommon Systems,https://supercommon.systems/,product,A1 Gallery,https://www.a1.gallery
360,E,Upstatement,https://upstatement.com/,brand,A1 Gallery,https://www.a1.gallery
361,E,Form&Fun,https://www.formandfun.co/,brand,A1 Gallery,https://www.a1.gallery
