priority,rank,name,url,focus,source,source_page
1966,R,Composition 24,https://www.awwwards.com/sites/composition-24,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1967,R,The New Company,https://www.awwwards.com/sites/the-new-company,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1968,R,Laguta & Laguta,https://www.awwwards.com/sites/laguta-laguta,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1969,R,Karel Komárek Family Fdn.,https://www.awwwards.com/sites/karel-komarek-family-fdn,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1970,R,Nowy Teatr,https://www.awwwards.com/sites/nowy-teatr-site,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1971,R,Discovery Land Company,https://www.awwwards.com/sites/discovery-land-company,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1972,R,Wickret,https://www.awwwards.com/sites/wickret,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1973,R,Meet your new Twitch,https://www.awwwards.com/sites/meet-your-new-twitch,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1974,R,Lafaurie Paris,https://www.awwwards.com/sites/lafaurie-paris,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1975,R,Cobo,https://www.awwwards.com/sites/cobo,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1976,R,"Waka Waka, Collection N01",https://www.awwwards.com/sites/waka-waka-collection-n01,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1977,R,District2 Studio,https://www.awwwards.com/sites/district2-studio,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1978,R,Rogue Studio,https://www.awwwards.com/sites/rogue-studio,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1979,R,Marie Weber,https://www.awwwards.com/sites/marie-weber,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1980,R,Red Edition,https://www.awwwards.com/sites/red-edition,ecommerce,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1981,R,Wonderful Weekends,https://www.awwwards.com/sites/wonderful-weekends,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1982,R,Hello Monday,https://www.awwwards.com/sites/hello-monday,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1983,R,FILA Explore,https://www.awwwards.com/sites/fila-explore,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1984,R,Jesus Is King,https://www.awwwards.com/sites/jesus-is-king,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1985,R,eDesign Interactive,https://www.awwwards.com/sites/edesign-interactive,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1986,R,Guide to Polish design,https://www.awwwards.com/sites/guide-to-polish-design,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1987,R,2nd STREET USA,https://www.awwwards.com/sites/2nd-street-usa,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1988,R,Zhenya Rynzhuk Folio 2019,https://www.awwwards.com/sites/zhenya-rynzhuk-folio-2019,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1989,R,#24hourace,https://www.awwwards.com/sites/24hourace,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1990,R,Active Theory v5,https://www.awwwards.com/sites/active-theory-v5,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1991,R,Bravoure,https://www.awwwards.com/sites/digital-design-agency-bravoure,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1992,R,Two Robbers,https://www.awwwards.com/sites/two-robbers,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=82
1993,R,Déplacé Maison,https://www.awwwards.com/sites/deplace-maison,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=83
1994,R,Peter Lindbergh,https://www.awwwards.com/sites/peter-linbergh,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=83
1995,R,Millemann Wines,https://www.awwwards.com/sites/millemann-wines,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=83
1996,R,Plenaire,https://www.awwwards.com/sites/plenaire,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=83
1997,R,BBC: Real Happiness Project,https://www.awwwards.com/sites/bbc-real-happiness-project,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=83
1998,R,Nikolas Type,https://www.awwwards.com/sites/nikolas-type,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=83
1999,R,Bon Iver Viisualiizer,https://www.awwwards.com/sites/bon-iver-visualizer,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=83
2000,R,Design Embraced,https://www.awwwards.com/sites/design-embraced-portfolio,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=83
2001,R,Uncanny Valley Studio,https://www.awwwards.com/sites/uncanny-valley-studio,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2002,R,Wed'ze ski goggles collection,https://www.awwwards.com/sites/wedze-ski-goggles-collection,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2003,R,Murmure,https://www.awwwards.com/sites/murmure-studio,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2004,R,ClearMotion,https://www.awwwards.com/sites/clearmotion,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2005,R,BASIC Culture Manual,https://www.awwwards.com/sites/basic-culture-manual,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
2006,R,Patrick HENG - Portfolio,https://www.awwwards.com/sites/patrick-heng-portfolio,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=101
