priority,rank,name,url,focus
697,S,Quartzo Studio,https://quartzo.studio/en,brand
698,S,CRUSH STUDIO,https://crush.enterprises/,brand
699,S,ONBOX,https://www.onboxcreative.com/,brand
700,S,Lué Studio®,https://lue.studio/,brand
701,S,Muse Design Studio,https://musestudio.uk/,brand
702,S,ANALOGUE,https://madebyanalogue.co.uk/,brand
703,S,CASSETTE,https://www.cassettemusic.com/,brand
704,S,Haptic,https://haptic.studio/,brand
705,S,Rauno Freiberg,https://rauno.me/,portfolio
706,S,Character,https://www.character.studio/,portfolio
707,S,Mat Voyce,https://matvoyce.tv/,portfolio
708,S,Gev Design,https://www.gev.design/,portfolio
709,S,Spencer Gabor,https://spencergabor.work/,portfolio
710,S,Los York,https://losyork.tv/,portfolio
711,S,Campsite,https://www.campsite.co/,product
712,S,Marathon,https://www.onmarathon.com/,product
713,S,Flow Computing,https://flow-computing.com/,product
714,S,Lithic,https://www.lithic.com/,product
715,S,Agora,https://www.agora.xyz/,product
716,S,Mobbin,https://mobbin.com/,product
717,S,Notion,https://www.notion.so/,product
718,S,Parthean,https://www.parthean.com/,product
719,S,Folk,https://www.folk.app/,product
720,S,Attio,https://attio.com/,product
721,S,Refrakt,https://refrakt.app/,product
722,S,Onfolk,https://www.onfolk.com/,product
723,S,Dare To Share,https://www.daretoshare.design/,product
724,S,Tella,https://www.tella.tv/,product
725,S,Monad,https://www.monad.com/,product
726,S,Macfolio,https://macfolio.com/,editorial
727,S,Flim,https://flim.ai/,editorial
728,S,Not a Number,https://www.nan.fyi/,editorial
729,S,The Bottom Line,https://squareup.com/us/en/the-bottom-line,editorial
730,S,Everyday Finds,https://everydayfinds.com/,editorial
731,S,Uniswap,https://app.uniswap.org/,product
732,S,Hashnode,https://hashnode.com/,product
733,S,Abode,https://www.abode.space/,product
734,S,Navigate,https://nvg8.io/,product
