priority,rank,name,url,focus,source,source_page
1772,X,Edoardo Smerilli–Film Director,https://www.awwwards.com/sites/edoardo-smerilli-film-director,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=75
1773,X,Lyst Fashion DNA,https://www.awwwards.com/sites/lyst-fashion-dna,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=75
1774,X,Thierry Chopain Portfolio 2020,https://www.awwwards.com/sites/thierry-chopain-portfolio-2020,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=75
1775,X,type.kontrapunkt.com,https://www.awwwards.com/sites/type-kontrapunkt-com,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=75
1776,X,Junction,https://www.awwwards.com/sites/junction,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1777,X,Houses Of,https://www.awwwards.com/sites/houses-of,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1778,X,DEGENESIS,https://www.awwwards.com/sites/degenesis,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1779,X,Wray & Nephew,https://www.awwwards.com/sites/wray-nephew,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1780,X,Mixlegno group,https://www.awwwards.com/sites/mixlegno-com,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1781,X,Skål Agence,https://www.awwwards.com/sites/skal-agence,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1782,X,Yannis Yannakopoulos,https://www.awwwards.com/sites/yannis-yannakopoulos,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1783,X,Jam3 - FWA 100,https://www.awwwards.com/sites/jam3-fwa-100,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1784,X,International Women’s Day,https://www.awwwards.com/sites/international-womens-day,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1785,X,Robin Golf,https://www.awwwards.com/sites/robin-golf,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1786,X,Diesel Wynwood,https://www.awwwards.com/sites/diesel-wynwood,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1787,X,CUSP,https://www.awwwards.com/sites/cusp,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1788,X,mē-lo / Angela Milosevic,https://www.awwwards.com/sites/me-lo-angela-milosevic,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1789,X,Fiomet,https://www.awwwards.com/sites/fiomet,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1790,X,USSR Design Almanac,https://www.awwwards.com/sites/ussr-design-almanac,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1791,X,Stone and Style,https://www.awwwards.com/sites/stone-and-style,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1792,X,Powerhouse Company,https://www.awwwards.com/sites/powerhouse-company,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1793,X,Shape Studio,https://www.awwwards.com/sites/shape-studio,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1794,X,Rino & Pelle,https://www.awwwards.com/sites/rino-pelle,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1795,X,Polly Kole,https://www.awwwards.com/sites/polly-kole,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1796,X,Jeans for Refugees,https://www.awwwards.com/sites/jeans-for-refugees,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
1797,X,Spotify Pet Playlists,https://www.awwwards.com/sites/spotify-pet-playlists,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=76
