priority,rank,name,url,focus,source,source_page
1849,Y,Skyline Films,https://www.awwwards.com/sites/skyline-films,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1850,Y,davidebaratta.com,https://www.awwwards.com/sites/davidebaratta-com,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1851,Y,LEQB,https://www.awwwards.com/sites/leqb,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1852,Y,DDNA,https://www.awwwards.com/sites/ddna,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1853,Y,i-Spy,https://www.awwwards.com/sites/i-spy,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1854,Y,"Victor Work | Folio 20""",https://www.awwwards.com/sites/victor-work-20,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1855,Y,Swab The World,https://www.awwwards.com/sites/swab-the-world,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1856,Y,Erika Senft Miller,https://www.awwwards.com/sites/erika-senft-miller,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1857,Y,Statskogmillionen,https://www.awwwards.com/sites/statskogmillionen,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1858,Y,Let Girls Dream,https://www.awwwards.com/sites/let-girls-dream,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1859,Y,Mirage Festival - 8th Edition,https://www.awwwards.com/sites/mirage-festival-8th-edition,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1860,Y,We are ZIZO,https://www.awwwards.com/sites/we-are-zizo,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1861,Y,nathan.tokyo,https://www.awwwards.com/sites/nathan-tokyo,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1862,Y,Bruno Ortolland,https://www.awwwards.com/sites/bruno-ortolland,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1863,Y,The Turn of the Screw,https://www.awwwards.com/sites/the-turn-of-the-screw,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1864,Y,Melriver,https://www.awwwards.com/sites/melriver-1,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1865,Y,Fitlab,https://www.awwwards.com/sites/fitlab,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1866,Y,Portes fermées,https://www.awwwards.com/sites/portes-fermees,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1867,Y,Hello from Here,https://www.awwwards.com/sites/hello-from-here,typography,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1868,Y,RED Company,https://www.awwwards.com/sites/red-company,layout,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=78
1869,Y,Nightingale,https://www.awwwards.com/sites/nightingale,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=79
1870,Y,Apple AirPods Pro,https://www.awwwards.com/sites/apple-airpods-pro,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=79
1871,Y,Defeat B.O.C.O.,https://www.awwwards.com/sites/defeat-b-o-c-o,product,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=79
1872,Y,RedCollar Font,https://www.awwwards.com/sites/redcollar-font,motion,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=79
